ID;Day;CountryCode;TweetType;Size;RetweetCount;Likes
1127257255471190018;Sat May 11 18:00:47 BST 2019;GB;ORIGINAL;269;0;0
1127256464651948033;Sat May 11 17:57:39 BST 2019;US;ORIGINAL;69;0;0
1127255929773273089;Sat May 11 17:55:31 BST 2019;GB;ORIGINAL;182;0;0
1127255798374129664;Sat May 11 17:55:00 BST 2019;US;ORIGINAL;56;0;0
1127255332294725632;Sat May 11 17:53:09 BST 2019;GB;ORIGINAL;63;0;0
1127255332294725632;Sat May 11 17:53:09 BST 2019;GB;ORIGINAL;63;0;0
1127253326209273857;Sat May 11 17:45:10 BST 2019;MX;ORIGINAL;147;0;0
1127253295637192705;Sat May 11 17:45:03 BST 2019;ES;ORIGINAL;59;0;0
1127241835167014912;Sat May 11 16:59:31 BST 2019;ES;ORIGINAL;122;3;7
1127233116266029057;Sat May 11 16:24:52 BST 2019;ES;ORIGINAL;173;6;10
1127233116266029057;Sat May 11 16:24:52 BST 2019;ES;ORIGINAL;173;6;10
1127218946434793475;Sat May 11 15:28:34 BST 2019;ES;ORIGINAL;215;0;3
1127214663047970816;Sat May 11 15:11:32 BST 2019;ES;ORIGINAL;279;0;2
1127200524833570818;Sat May 11 14:15:22 BST 2019;ES;ORIGINAL;133;1;3
1127198942779858944;Sat May 11 14:09:04 BST 2019;ES;ORIGINAL;228;2;4
1127197670756503553;Sat May 11 14:04:01 BST 2019;ES;REPLY;152;1;2
1127195924969787392;Sat May 11 13:57:05 BST 2019;ES;ORIGINAL;181;1;1
1127198942779858944;Sat May 11 14:09:04 BST 2019;ES;ORIGINAL;228;2;4
1127197670756503553;Sat May 11 14:04:01 BST 2019;ES;REPLY;152;1;2
1127195924969787392;Sat May 11 13:57:05 BST 2019;ES;ORIGINAL;181;1;1
1127195183718850560;Sat May 11 13:54:08 BST 2019;ES;ORIGINAL;133;1;3
1127195183718850560;Sat May 11 13:54:08 BST 2019;ES;ORIGINAL;133;1;3
1127194193653313536;Sat May 11 13:50:12 BST 2019;ES;ORIGINAL;175;4;6
1127193970075938817;Sat May 11 13:49:19 BST 2019;ES;ORIGINAL;194;3;8
1127193928283897857;Sat May 11 13:49:09 BST 2019;ES;REPLY;107;2;3
1127193715032907781;Sat May 11 13:48:18 BST 2019;ES;ORIGINAL;136;3;4
